collection_slug,collection_name,nft_identifier,nft_name,token_id,sale_price_wei,sale_price_eth,sale_timestamp,sale_timestamp_unix,twitter_search_start,twitter_search_end,twitter_keywords,buyer,seller,transaction_hash,opensea_url,floor_price,total_volume,num_owners,tweet_count,avg_sentiment,sentiment_confidence,consensus_quality,positive_tweets,negative_tweets,neutral_tweets,sentiment_range_min,sentiment_range_max,rarity_score,rarity_rank,rarity_max_rank,rarity_tokens_scored,trait_count
boredapeyachtclub,boredapeyachtclub,5172,,5172,71000000000000000000,71.0,2022-12-31T22:14:11+00:00,1672524851,2022-12-24T22:14:11+00:00,2022-12-31T22:14:11+00:00,"['boredapeyachtclub', '#boredapeyachtclub', 'boredapeyachtclub sale', 'boredapeyachtclub sold', 'boredapeyachtclub floor', 'boredapeyachtclub 5172']",0x2c45eebbda13df4d32f250fee9627e1e992c3142,0x376bc7ddbc6a10f32b7421287f1dac6de0ad9f12,0x2f322e1cd4c6abbfa21ef3ccbde5f2d881657fe9cacd39121419227bc2490099,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5172,0,0,0,9,0.3,0.5,0.9,3,1,2,0.3,0.3,,8747.0,,0.0,
cryptopunks,cryptopunks,7386,CryptoPunk #7386,7386,192,1.92e-16,2022-12-31T23:36:47+00:00,1672529807,2022-12-24T23:36:47+00:00,2022-12-31T23:36:47+00:00,"['cryptopunks', '#cryptopunks', 'cryptopunks sale', 'cryptopunks sold', 'cryptopunks floor', 'cryptopunks 7386']",0xed01f8a737813f0bda2d4340d191dbf8c2cbcf30,0xb7ef760f30d139097ba547bd6f0dfaecbf148452,0xb7f30482fa525fd373b2a0409d9ffe7bad2c09e89eeb8bc0cc2fa746fa9eb8fc,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/7386,0,0,0,42,0.4,0.5294117647058824,0.9,9,1,7,0.4,0.4,,,,,
pudgypenguins,pudgypenguins,1987,Pudgy Penguin #1987,1987,5900000000000000000,5.9,2022-12-31T23:51:23+00:00,1672530683,2022-12-24T23:51:23+00:00,2022-12-31T23:51:23+00:00,"['pudgypenguins', '#pudgypenguins', 'pudgypenguins sale', 'pudgypenguins sold', 'pudgypenguins floor', 'pudgypenguins 1987']",0x6fe30cb188beba39b4516af42cfae189bc43fb99,0x58e316d51ada862d71fba22ada6f56d00186af13,0x1b2c367417122a30ade6f4b4a939245ef46b88dc25ae58c428992a8d3796189a,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/1987,0,0,0,157,0.4,0.2727272727272727,0.9,33,4,84,0.4,0.4,,8083.0,,0.0,
azuki,azuki,4490,Azuki #4490,4490,2000000000000000000,2.0,2022-12-31T23:57:35+00:00,1672531055,2022-12-24T23:57:35+00:00,2022-12-31T23:57:35+00:00,"['azuki', '#azuki', 'azuki sale', 'azuki sold', 'azuki floor', 'azuki 4490']",0x604eafd2d3f0d7f74f731e66cb58c1315f18d7b4,0xe02bf9fabd3cc659b99682a5c0bc7355f963b82e,0x73fc46235790580318096f8e012fc24201bfeaf86935a2060e89a603b6ec0517,https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/4490,0,0,0,53,0.4,0.52,0.9,13,2,10,0.4,0.4,,7892.0,,0.0,
clonex,clonex,11714,CloneX #7604,11714,5590000000000000000,5.59,2022-12-31T23:08:59+00:00,1672528139,2022-12-24T23:08:59+00:00,2022-12-31T23:08:59+00:00,"['clonex', '#clonex', 'clonex sale', 'clonex sold', 'clonex floor', 'clonex 11714']",0xdcef0c8cff7c46aafb13806be86892368c115f6b,0x45837b4b52800539e90ec0a12d28cb8813a46121,0x19571f4080147422364195f731fd6f33ea8fd67a7f8c712f88f35fdd0e7b1f7e,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/11714,0,0,0,17,0.4,0.5,0.9,6,0,6,0.4,0.4,,18286.0,,0.0,
doodles-official,doodles-official,5987,Doodle #5987,5987,7459500000000000000,7.4595,2022-12-31T23:56:35+00:00,1672530995,2022-12-24T23:56:35+00:00,2022-12-31T23:56:35+00:00,"['doodles-official', '#doodlesofficial', 'doodles-official sale', 'doodles-official sold', 'doodles-official floor', 'doodles-official 5987']",0x2a6d41f1a0f1f5441c109a56f34ba66d12d5f467,0xd9ef8805e71e9a1417bd8062ce2e717b46d96f05,0xc172fd3f555193af8ad4dceebd9beb7e71717367e960cad787f38b9dd947dca0,https://opensea.io/assets/ethereum/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/5987,0,0,0,1,0.0,1.0,0.9,0,0,1,0.0,0.0,,1508.0,,0.0,

